[[[5660208179.0], [11.5], [1161114004.0], [122.0], [1.492657328e+18], [-0.46214840768]]],-0.24814063556457053
,-0.15673120319843292
[[[5660208182.0], [12.5], [1161114004.0], [122.0], [1.492657329e+18], [-0.4618706299022222]]],-0.05611899932386737
,-0.15673120319843292
[[[5660208267.0], [15.5], [1161114004.0], [122.0], [1.49265733e+18], [-0.46159285212444445]]],0.5199459093982421
,-0.15673120319843292
[[[5660208184.0], [14.0], [1161114004.0], [122.0], [1.49265733e+18], [-0.46159285212444445]]],0.23191345503718735
,-0.15673120319843292
[[[5660208380.0], [16.5], [1161114004.0], [122.0], [1.492657333e+18], [-0.4607595187911111]]],0.7119675456389453
,-0.15673120319843292
[[[5660210489.0], [15.5], [1161114004.0], [122.0], [1.492657379e+18], [-0.4479817410133333]]],0.5199459093982421
,-0.15673120319843292
[[[5660215597.0], [13.5], [1161114004.0], [122.0], [1.492657495e+18], [-0.4157595187911111]]],0.1359026369168358
,-0.15673120319843292
[[[5660215594.0], [14.5], [1161114004.0], [122.0], [1.492657495e+18], [-0.4157595187911111]]],0.3279242731575389
,-0.15673120319843292
[[[5660215600.0], [12.0], [1161114004.0], [122.0], [1.492657496e+18], [-0.41548174101333335]]],-0.15212981744421897
,-0.15673120319843292
[[[5660215603.0], [10.5], [1161114004.0], [122.0], [1.492657497e+18], [-0.41520396323555553]]],-0.4401622718052737
,-0.15673120319843292
[[[5660215691.0], [9.5], [1161114004.0], [122.0], [1.492657498e+18], [-0.41492618545777776]]],-0.6321839080459769
,-0.15673120319843292
[[[5660215693.0], [8.0], [1161114004.0], [122.0], [1.492657499e+18], [-0.41464840768]]],-0.9202163624070316
,-0.15673120319843292
[[[5660223841.0], [9.0], [1161114004.0], [122.0], [1.492657675e+18], [-0.3657595187911111]]],-0.7281947261663284
,-0.15673120319843292
[[[5660223843.0], [10.0], [1161114004.0], [122.0], [1.492657676e+18], [-0.36548174101333336]]],-0.5361730899256253
,-0.15673120319843292
[[[5660223930.0], [12.5], [1161114004.0], [122.0], [1.492657677e+18], [-0.36520396323555554]]],-0.05611899932386737
,-0.15673120319843292
[[[5660223934.0], [14.0], [1161114004.0], [122.0], [1.492657678e+18], [-0.3649261854577778]]],0.23191345503718735
,-0.15673120319843292
[[[5660223938.0], [15.5], [1161114004.0], [122.0], [1.492657679e+18], [-0.36464840768]]],0.5199459093982421
,-0.15673120319843292
[[[5660224100.0], [16.5], [1161114004.0], [122.0], [1.492657681e+18], [-0.3640928521244444]]],0.7119675456389453
,-0.15673120319843292
[[[5660226416.0], [15.5], [1161114004.0], [122.0], [1.492657731e+18], [-0.3502039632355556]]],0.5199459093982421
,-0.15673120319843292
[[[5660233045.0], [14.0], [1161114004.0], [122.0], [1.492657875e+18], [-0.31020396323555555]]],0.23191345503718735
,-0.15673120319843292
[[[5660233048.0], [13.0], [1161114004.0], [122.0], [1.492657876e+18], [-0.3099261854577778]]],0.0398918187964842
,-0.15673120319843292
[[[5660233132.0], [11.5], [1161114004.0], [122.0], [1.492657877e+18], [-0.30964840768]]],-0.24814063556457053
,-0.15673120319843292
[[[5660233137.0], [9.0], [1161114004.0], [122.0], [1.492657878e+18], [-0.30937062990222225]]],-0.7281947261663284
,-0.15673120319843292
[[[5660233134.0], [10.5], [1161114004.0], [122.0], [1.492657878e+18], [-0.30937062990222225]]],-0.4401622718052737
,-0.15673120319843292
[[[5660241454.0], [10.0], [1161114004.0], [122.0], [1.492658054e+18], [-0.2604817410133333]]],-0.5361730899256253
,-0.15673120319843292
[[[5660241457.0], [11.0], [1161114004.0], [122.0], [1.492658055e+18], [-0.26020396323555556]]],-0.3441514536849221
,-0.15673120319843292
[[[5660241530.0], [12.5], [1161114004.0], [122.0], [1.492658056e+18], [-0.2599261854577778]]],-0.05611899932386737
,-0.15673120319843292
[[[5660241533.0], [14.0], [1161114004.0], [122.0], [1.492658057e+18], [-0.25964840768]]],0.23191345503718735
,-0.15673120319843292
[[[5660241538.0], [15.5], [1161114004.0], [122.0], [1.492658058e+18], [-0.2593706299022222]]],0.5199459093982421
,-0.15673120319843292
[[[5660241633.0], [16.5], [1161114004.0], [122.0], [1.492658059e+18], [-0.25909285212444444]]],0.7119675456389453
,-0.15673120319843292
[[[5660241743.0], [17.5], [1161114004.0], [122.0], [1.492658062e+18], [-0.2582595187911111]]],0.9039891818796484
