[[[5651557343.0], [17.5], [1161114004.0], [122.0], [1.4924777e+18], [-0.35036008995555556]]],0.1769784172661869
,-0.15673120319843292
[[[5651557408.0], [19.5], [1161114004.0], [122.0], [1.492477701e+18], [-0.3500823121777778]]],0.4762589928057553
,-0.15673120319843292
[[[5651548609.0], [19.5], [1161114004.0], [122.0], [1.492477518e+18], [-0.4009156455111111]]],0.4762589928057553
,-0.15673120319843292
[[[5651557413.0], [22.0], [1161114004.0], [122.0], [1.492477702e+18], [-0.3498045344]]],0.8503597122302158
,-0.15673120319843292
[[[5651548613.0], [18.0], [1161114004.0], [122.0], [1.492477519e+18], [-0.4006378677333333]]],0.251798561151079
,-0.15673120319843292
[[[5651557411.0], [21.0], [1161114004.0], [122.0], [1.492477702e+18], [-0.3498045344]]],0.7007194244604316
,-0.15673120319843292
[[[5651548724.0], [15.5], [1161114004.0], [122.0], [1.49247752e+18], [-0.40036008995555555]]],-0.12230215827338148
,-0.15673120319843292
[[[5651557513.0], [23.0], [1161114004.0], [122.0], [1.492477704e+18], [-0.34924897884444445]]],1.0
,-0.15673120319843292
[[[5651548719.0], [16.5], [1161114004.0], [122.0], [1.49247752e+18], [-0.40036008995555555]]],0.02733812949640272
,-0.15673120319843292
[[[5651558205.0], [22.0], [1161114004.0], [122.0], [1.49247772e+18], [-0.3448045344]]],0.8503597122302158
,-0.15673120319843292
[[[5651548727.0], [14.0], [1161114004.0], [122.0], [1.492477521e+18], [-0.4000823121777778]]],-0.34676258992805775
,-0.15673120319843292
[[[5651558798.0], [21.0], [1161114004.0], [122.0], [1.492477735e+18], [-0.3406378677333333]]],0.7007194244604316
,-0.15673120319843292
[[[5651548792.0], [12.5], [1161114004.0], [122.0], [1.492477522e+18], [-0.3998045344]]],-0.5712230215827341
,-0.15673120319843292
[[[5651559583.0], [20.0], [1161114004.0], [122.0], [1.492477746e+18], [-0.3375823121777778]]],0.5510791366906475
,-0.15673120319843292
[[[5651557267.0], [13.5], [1161114004.0], [122.0], [1.492477698e+18], [-0.3509156455111111]]],-0.42158273381294986
,-0.15673120319843292
[[[5651568046.0], [18.5], [1161114004.0], [122.0], [1.492477929e+18], [-0.28674897884444445]]],0.3266187050359711
,-0.15673120319843292
[[[5651557337.0], [14.5], [1161114004.0], [122.0], [1.492477699e+18], [-0.35063786773333333]]],-0.2719424460431657
,-0.15673120319843292
[[[5651568131.0], [17.5], [1161114004.0], [122.0], [1.49247793e+18], [-0.2864712010666667]]],0.1769784172661869
,-0.15673120319843292
