id,value,station_id,parameter_id,unix_timestamp,norm_time,norm_value
5651588575,23.5,1161114062,113,1492478399000000000,-10.683415695075556,0.7032090890970699
5651589049,22.5,1161114062,113,1492478408000000000,-10.680915695075555,0.554813633645605
5651589427,21.5,1161114062,113,1492478417000000000,-10.678415695075556,0.40641817819413995
5651590291,20.5,1161114062,113,1492478436000000000,-10.673137917297778,0.2580227227426749
5651591142,19.5,1161114062,113,1492478456000000000,-10.667582361742221,0.10962726729120989
5651591930,18.5,1161114062,113,1492478473000000000,-10.66286013952,-0.03876818816025514
5651592991,17.5,1161114062,113,1492478498000000000,-10.655915695075555,-0.18716364361172017
5651594187,16.5,1161114062,113,1492478526000000000,-10.648137917297777,-0.33555909906318515
5651596663,17.5,1161114062,113,1492478582000000000,-10.632582361742223,-0.18716364361172017
5651599321,18.5,1161114062,113,1492478601000000000,-10.627304583964445,-0.03876818816025514
5651599348,19.5,1161114062,113,1492478623000000000,-10.621193472853333,0.10962726729120989
5651599685,20.5,1161114062,113,1492478651000000000,-10.613415695075556,0.2580227227426749
5651601273,21.5,1161114062,113,1492478687000000000,-10.603415695075556,0.40641817819413995
5651604474,22.5,1161114062,113,1492478746000000000,-10.587026806186667,0.554813633645605
5651607199,21.5,1161114062,113,1492478808000000000,-10.569804583964444,0.40641817819413995
5651607537,20.5,1161114062,113,1492478818000000000,-10.567026806186666,0.2580227227426749
5651608350,19.5,1161114062,113,1492478841000000000,-10.560637917297777,0.10962726729120989
5651609800,18.5,1161114062,113,1492478875000000000,-10.551193472853333,-0.03876818816025514
5651611007,17.5,1161114062,113,1492478903000000000,-10.543415695075556,-0.18716364361172017
5651612146,16.5,1161114062,113,1492478931000000000,-10.535637917297779,-0.33555909906318515
5651613737,15.5,1161114062,113,1492478966000000000,-10.525915695075556,-0.4839545545146502
5651615320,16.5,1161114062,113,1492479003000000000,-10.515637917297777,-0.33555909906318515
5651615983,17.5,1161114062,113,1492479018000000000,-10.51147125063111,-0.18716364361172017
5651616701,18.5,1161114062,113,1492479036000000000,-10.506471250631112,-0.03876818816025514
5651617588,19.5,1161114062,113,1492479058000000000,-10.50036013952,0.10962726729120989
5651619398,20.5,1161114062,113,1492479087000000000,-10.492304583964444,0.2580227227426749
5651621199,21.5,1161114062,113,1492479123000000000,-10.482304583964444,0.40641817819413995
5651624101,22.5,1161114062,113,1492479183000000000,-10.465637917297778,0.554813633645605
5651626856,21.5,1161114062,113,1492479246000000000,-10.448137917297778,0.40641817819413995
5651627284,20.5,1161114062,113,1492479254000000000,-10.445915695075556,0.2580227227426749
5651628087,19.5,1161114062,113,1492479272000000000,-10.440915695075555,0.10962726729120989
5651629315,18.5,1161114062,113,1492479305000000000,-10.43174902840889,-0.03876818816025514
5651630589,17.5,1161114062,113,1492479332000000000,-10.42424902840889,-0.18716364361172017
5651631764,16.5,1161114062,113,1492479360000000000,-10.416471250631112,-0.33555909906318515
5651634711,17.5,1161114062,113,1492479421000000000,-10.399526806186667,-0.18716364361172017
5651636068,18.5,1161114062,113,1492479439000000000,-10.394526806186667,-0.03876818816025514
5651636333,19.5,1161114062,113,1492479461000000000,-10.388415695075556,0.10962726729120989
5651638505,20.5,1161114062,113,1492479490000000000,-10.38036013952,0.2580227227426749
5651640427,21.5,1161114062,113,1492479525000000000,-10.370637917297778,0.40641817819413995
5651643362,22.5,1161114062,113,1492479579000000000,-10.355637917297777,0.554813633645605
5651645498,21.5,1161114062,113,1492479630000000000,-10.34147125063111,0.40641817819413995
5651646334,20.5,1161114062,113,1492479649000000000,-10.336193472853333,0.2580227227426749
5651646774,19.5,1161114062,113,1492479657000000000,-10.33397125063111,0.10962726729120989
5651648133,18.5,1161114062,113,1492479686000000000,-10.325915695075556,-0.03876818816025514
5651649270,17.5,1161114062,113,1492479714000000000,-10.318137917297777,-0.18716364361172017
5651650468,16.5,1161114062,113,1492479743000000000,-10.310082361742221,-0.33555909906318515
5651652504,15.5,1161114062,113,1492479794000000000,-10.295915695075555,-0.4839545545146502
5651653473,16.5,1161114062,113,1492479817000000000,-10.289526806186666,-0.33555909906318515
5651654204,17.5,1161114062,113,1492479833000000000,-10.285082361742223,-0.18716364361172017
5651654858,18.5,1161114062,113,1492479849000000000,-10.280637917297778,-0.03876818816025514
5651655808,19.5,1161114062,113,1492479872000000000,-10.274249028408889,0.10962726729120989
5651656956,20.5,1161114062,113,1492479901000000000,-10.266193472853333,0.2580227227426749
5651658299,21.5,1161114062,113,1492479936000000000,-10.256471250631112,0.40641817819413995
5651660853,22.5,1161114062,113,1492479996000000000,-10.239804583964444,0.554813633645605
5651663782,21.5,1161114062,113,1492480058000000000,-10.222582361742223,0.40641817819413995
5651664274,20.5,1161114062,113,1492480067000000000,-10.220082361742222,0.2580227227426749
5651665104,19.5,1161114062,113,1492480085000000000,-10.215082361742223,0.10962726729120989
5651666049,18.5,1161114062,113,1492480112000000000,-10.207582361742222,-0.03876818816025514
5651667258,17.5,1161114062,113,1492480141000000000,-10.199526806186666,-0.18716364361172017
5651668761,16.5,1161114062,113,1492480171000000000,-10.191193472853334,-0.33555909906318515
5651673307,15.5,1161114062,113,1492480206000000000,-10.18147125063111,-0.4839545545146502
5651673404,16.5,1161114062,113,1492480276000000000,-10.162026806186667,-0.33555909906318515
5651673358,16.5,1161114062,113,1492480276000000000,-10.162026806186667,-0.33555909906318515
5651673668,17.5,1161114062,113,1492480291000000000,-10.15786013952,-0.18716364361172017
5651674547,18.5,1161114062,113,1492480310000000000,-10.152582361742223,-0.03876818816025514
