id,value,station_id,parameter_id,unix_timestamp,norm_time,norm_value
5651375742,27.5,1161114040,115,1492473732000000000,-11.979804583964444,-1.206014782091581
5651384896,28.5,1161114040,115,1492473939000000000,-11.922304583964445,-1.1101010959136863
5651385893,29.5,1161114040,115,1492473953000000000,-11.918415695075556,-1.0141874097357915
5651386968,30.5,1161114040,115,1492473973000000000,-11.91286013952,-0.9182737235578966
5651387977,31.5,1161114040,115,1492473997000000000,-11.906193472853333,-0.8223600373800017
5651389334,32.5,1161114040,115,1492474026000000000,-11.898137917297777,-0.7264463512021069
5651390788,33.5,1161114040,115,1492474060000000000,-11.888693472853333,-0.6305326650242121
5651392998,34.5,1161114040,115,1492474108000000000,-11.87536013952,-0.5346189788463173
5651394531,35.5,1161114040,115,1492474140000000000,-11.866471250631111,-0.43870529266842245
5651396450,36.5,1161114040,115,1492474189000000000,-11.85286013952,-0.3427916064905276
5651399005,35.5,1161114040,115,1492474250000000000,-11.835915695075556,-0.43870529266842245
5651401537,34.5,1161114040,115,1492474308000000000,-11.819804583964444,-0.5346189788463173
5651403779,33.5,1161114040,115,1492474362000000000,-11.804804583964444,-0.6305326650242121
5651408521,32.5,1161114040,115,1492474448000000000,-11.780915695075555,-0.7264463512021069
5651412519,31.5,1161114040,115,1492474521000000000,-11.760637917297778,-0.8223600373800017
5651417399,30.5,1161114040,115,1492474629000000000,-11.730637917297777,-0.9182737235578966
5651423023,29.5,1161114040,115,1492474729000000000,-11.70286013952,-1.0141874097357915
5651429827,28.5,1161114040,115,1492474868000000000,-11.66424902840889,-1.1101010959136863
5651437952,27.5,1161114040,115,1492475054000000000,-11.612582361742222,-1.206014782091581
5651442408,28.5,1161114040,115,1492475153000000000,-11.585082361742222,-1.1101010959136863
5651443166,29.5,1161114040,115,1492475171000000000,-11.580082361742223,-1.0141874097357915
5651443949,30.5,1161114040,115,1492475187000000000,-11.575637917297778,-0.9182737235578966
5651444976,31.5,1161114040,115,1492475207000000000,-11.570082361742223,-0.8223600373800017
5651447039,32.5,1161114040,115,1492475246000000000,-11.559249028408889,-0.7264463512021069
5651449163,33.5,1161114040,115,1492475288000000000,-11.547582361742222,-0.6305326650242121
5651450650,34.5,1161114040,115,1492475321000000000,-11.538415695075555,-0.5346189788463173
5651451982,35.5,1161114040,115,1492475353000000000,-11.529526806186666,-0.43870529266842245
5651454227,36.5,1161114040,115,1492475405000000000,-11.515082361742222,-0.3427916064905276
5651457873,35.5,1161114040,115,1492475487000000000,-11.492304583964444,-0.43870529266842245
5651460162,34.5,1161114040,115,1492475536000000000,-11.478693472853333,-0.5346189788463173
5651463524,33.5,1161114040,115,1492475608000000000,-11.458693472853334,-0.6305326650242121
5651465875,32.5,1161114040,115,1492475662000000000,-11.443693472853333,-0.7264463512021069
5651470257,31.5,1161114040,115,1492475759000000000,-11.416749028408889,-0.8223600373800017
5651475342,30.5,1161114040,115,1492475881000000000,-11.38286013952,-0.9182737235578966
5651479042,29.5,1161114040,115,1492475965000000000,-11.359526806186667,-1.0141874097357915
5651485838,28.5,1161114040,115,1492476121000000000,-11.316193472853334,-1.1101010959136863
5651488716,29.5,1161114040,115,1492476182000000000,-11.29924902840889,-1.0141874097357915
5651489766,30.5,1161114040,115,1492476205000000000,-11.29286013952,-0.9182737235578966
5651490626,31.5,1161114040,115,1492476222000000000,-11.288137917297778,-0.8223600373800017
5651491834,32.5,1161114040,115,1492476248000000000,-11.280915695075555,-0.7264463512021069
5651493138,33.5,1161114040,115,1492476278000000000,-11.272582361742222,-0.6305326650242121
5651494904,34.5,1161114040,115,1492476314000000000,-11.262582361742222,-0.5346189788463173
5651497398,35.5,1161114040,115,1492476359000000000,-11.250082361742223,-0.43870529266842245
5651499142,36.5,1161114040,115,1492476400000000000,-11.238693472853333,-0.3427916064905276
5651503856,35.5,1161114040,115,1492476507000000000,-11.20897125063111,-0.43870529266842245
5651506558,34.5,1161114040,115,1492476569000000000,-11.19174902840889,-0.5346189788463173
5651509444,33.5,1161114040,115,1492476637000000000,-11.17286013952,-0.6305326650242121
5651513332,32.5,1161114040,115,1492476722000000000,-11.149249028408889,-0.7264463512021069
5651515963,31.5,1161114040,115,1492476784000000000,-11.132026806186667,-0.8223600373800017
5651530203,32.5,1161114040,115,1492477086000000000,-11.048137917297778,-0.7264463512021069
5651531057,33.5,1161114040,115,1492477104000000000,-11.043137917297777,-0.6305326650242121
5651532121,34.5,1161114040,115,1492477130000000000,-11.035915695075555,-0.5346189788463173
5651534476,35.5,1161114040,115,1492477183000000000,-11.021193472853334,-0.43870529266842245
5651536240,36.5,1161114040,115,1492477222000000000,-11.01036013952,-0.3427916064905276
5651539315,37.5,1161114040,115,1492477291000000000,-10.991193472853332,-0.24687792031263278
5651543268,38.5,1161114040,115,1492477382000000000,-10.965915695075555,-0.15096423413473795
5651548299,39.5,1161114040,115,1492477489000000000,-10.936193472853333,-0.05505054795684312
5651550601,38.5,1161114040,115,1492477542000000000,-10.921471250631111,-0.15096423413473795
5651553464,37.5,1161114040,115,1492477599000000000,-10.905637917297778,-0.24687792031263278
5651555974,36.5,1161114040,115,1492477639000000000,-10.894526806186667,-0.3427916064905276
5651560484,37.5,1161114040,115,1492477740000000000,-10.866471250631111,-0.24687792031263278
5651561314,38.5,1161114040,115,1492477760000000000,-10.860915695075555,-0.15096423413473795
5651563543,39.5,1161114040,115,1492477817000000000,-10.845082361742222,-0.05505054795684312
5651568656,40.5,1161114040,115,1492477921000000000,-10.816193472853334,0.04086313822105171
