id,value,station_id,parameter_id,unix_timestamp,norm_time,norm_value
5641520357,16.5,1161114069,122,1492261335000000000,-0.45969471651555555,0.0
5641528929,15.5,1161114069,122,1492261514000000000,-0.4099724942933333,-1.0
5641536438,14.5,1161114069,122,1492261671000000000,-0.3663613831822222,-2.0
5641539065,15.5,1161114069,122,1492261728000000000,-0.3505280498488889,-1.0
5641562216,16.5,1161114069,122,1492262208000000000,-0.21719471651555555,0.0
5641565594,17.5,1161114069,122,1492262287000000000,-0.19525027207111112,1.0
5641567749,16.5,1161114069,122,1492262336000000000,-0.18163916096,0.0
5641658122,17.5,1161114069,122,1492264170000000000,0.32780528348444443,1.0
5641659793,16.5,1161114069,122,1492264211000000000,0.3391941723733333,0.0
5641661991,17.5,1161114069,122,1492264253000000000,0.35086083904,1.0
5641670200,16.5,1161114069,122,1492264422000000000,0.39780528348444444,0.0
5641677562,17.5,1161114069,122,1492264569000000000,0.43863861681777777,1.0
