id,value,station_id,parameter_id,unix_timestamp,norm_time
5660208041,9.0,1161114004,122,1492657326000000000,-0.46270396323555557
5660208043,10.0,1161114004,122,1492657327000000000,-0.4624261854577778
5660208179,11.5,1161114004,122,1492657328000000000,-0.46214840768
5660208182,12.5,1161114004,122,1492657329000000000,-0.4618706299022222
5660208267,15.5,1161114004,122,1492657330000000000,-0.46159285212444445
5660208184,14.0,1161114004,122,1492657330000000000,-0.46159285212444445
5660208380,16.5,1161114004,122,1492657333000000000,-0.4607595187911111
5660210489,15.5,1161114004,122,1492657379000000000,-0.4479817410133333
5660215597,13.5,1161114004,122,1492657495000000000,-0.4157595187911111
5660215594,14.5,1161114004,122,1492657495000000000,-0.4157595187911111
5660215600,12.0,1161114004,122,1492657496000000000,-0.41548174101333335
5660215603,10.5,1161114004,122,1492657497000000000,-0.41520396323555553
5660215691,9.5,1161114004,122,1492657498000000000,-0.41492618545777776
5660215693,8.0,1161114004,122,1492657499000000000,-0.41464840768
5660223841,9.0,1161114004,122,1492657675000000000,-0.3657595187911111
5660223846,11.0,1161114004,122,1492657676000000000,-0.36548174101333336
5660223843,10.0,1161114004,122,1492657676000000000,-0.36548174101333336
5660223930,12.5,1161114004,122,1492657677000000000,-0.36520396323555554
5660223934,14.0,1161114004,122,1492657678000000000,-0.3649261854577778
5660223938,15.5,1161114004,122,1492657679000000000,-0.36464840768
5660224100,16.5,1161114004,122,1492657681000000000,-0.3640928521244444
5660226416,15.5,1161114004,122,1492657731000000000,-0.3502039632355556
5660233045,14.0,1161114004,122,1492657875000000000,-0.31020396323555555
5660233048,13.0,1161114004,122,1492657876000000000,-0.3099261854577778
5660233132,11.5,1161114004,122,1492657877000000000,-0.30964840768
5660233137,9.0,1161114004,122,1492657878000000000,-0.30937062990222225
5660233134,10.5,1161114004,122,1492657878000000000,-0.30937062990222225
5660233253,8.0,1161114004,122,1492657879000000000,-0.30909285212444443
5660241451,9.0,1161114004,122,1492658054000000000,-0.2604817410133333
5660241454,10.0,1161114004,122,1492658054000000000,-0.2604817410133333
5660241457,11.0,1161114004,122,1492658055000000000,-0.26020396323555556
5660241530,12.5,1161114004,122,1492658056000000000,-0.2599261854577778
5660241533,14.0,1161114004,122,1492658057000000000,-0.25964840768
5660241538,15.5,1161114004,122,1492658058000000000,-0.2593706299022222
5660241633,16.5,1161114004,122,1492658059000000000,-0.25909285212444444
5660241743,17.5,1161114004,122,1492658062000000000,-0.2582595187911111
5660241997,16.5,1161114004,122,1492658066000000000,-0.25714840768
5660243832,15.5,1161114004,122,1492658108000000000,-0.24548174101333334
5660248140,14.5,1161114004,122,1492658214000000000,-0.2160372965688889
5660248143,13.0,1161114004,122,1492658215000000000,-0.2157595187911111
5660248231,10.5,1161114004,122,1492658216000000000,-0.21548174101333334
5660248145,12.0,1161114004,122,1492658216000000000,-0.21548174101333334
5660248234,9.0,1161114004,122,1492658217000000000,-0.21520396323555555
5660248237,8.0,1161114004,122,1492658218000000000,-0.21492618545777778
5660256192,9.0,1161114004,122,1492658394000000000,-0.16603729656888888
5660256195,10.0,1161114004,122,1492658395000000000,-0.16575951879111112
5660256308,11.5,1161114004,122,1492658395000000000,-0.16575951879111112
5660256311,12.5,1161114004,122,1492658396000000000,-0.16548174101333332
5660256314,14.0,1161114004,122,1492658397000000000,-0.16520396323555556
5660256407,16.5,1161114004,122,1492658398000000000,-0.1649261854577778
5660256405,15.5,1161114004,122,1492658398000000000,-0.1649261854577778
5660256561,17.5,1161114004,122,1492658400000000000,-0.16437062990222223
5660258873,16.5,1161114004,122,1492658444000000000,-0.15214840768
5660263536,14.5,1161114004,122,1492658553000000000,-0.12187062990222222
5660263538,13.5,1161114004,122,1492658554000000000,-0.12159285212444444
5660263622,10.5,1161114004,122,1492658555000000000,-0.12131507434666666
5660263541,12.0,1161114004,122,1492658555000000000,-0.12131507434666666
5660263625,9.5,1161114004,122,1492658556000000000,-0.12103729656888888
5660263628,8.0,1161114004,122,1492658557000000000,-0.12075951879111112
5660271697,9.0,1161114004,122,1492658733000000000,-0.07187062990222222
